GCC_bitrate,ARS_bitrate,Concerto_bitrate,bitrate
1635.655601,1722.85494,1185.235787,1360.975058
1648.382288,1729.479901,1190.597318,1366.508933
1650.374605,1737.57882,1203.456887,1371.888675
1698.694672,1800.061283,1215.999755,1385.282485
1713.755416,1926.022426,1239.513904,1388.416554
1725.397941,1951.994873,1269.853688,1414.411016
1780.212267,2027.179102,1272.066547,1439.765024
1917.031409,2032.936222,1650.810723,1480.97487
1926.67714,2054.966195,1690.730886,1493.156962
2004.563092,2135.748299,1698.681805,1493.52965
2032.365727,2205.676586,1767.126087,1501.905662
2094.616473,2318.202086,1776.105844,1530
2165.255586,2426.312004,1804.122961,1574.800871
2301.344787,2493.825252,1832.069979,1610
2476.604317,2917.431193,1845.594701,1692.001691
2546.824991,2951.739345,1854.43743,1703.8398
2820.604508,2968.074434,1863.149134,1944.932052
2819.649325,2995.428571,2279.680923,1949.138882
2906.332174,3043.949045,2731.245737,2104.657254
2969.927579,3073.423423,2922.122448,2565
